"","taxon","log_fold_change","standard_error","ci_low","ci_high","fold_change","fold_change_low","fold_change_high","p_value","q_value","significant"
"1","Dorea",1.80667715023428,0.329000505551484,1.16183615935337,2.45151814111519,6.09017702981394,3.1957958826305,11.6059528257305,2.68486756981314e-05,0.000617519541057021,TRUE
"2","Ruminococcus",1.77935325192602,0.285146281565347,1.22046654005794,2.3382399637941,5.92602253528538,3.38876836106716,10.362981280211,0.000151407178830063,0.00174118255654572,TRUE
"3","Mediterraneibacter",1.23641334892176,0.384616570349443,0.482564871036849,1.99026182680667,3.44324158507383,1.62022474489209,7.3174494159274,0.00415947836911954,0.0318893341632498,TRUE
"4","Subdoligranulum",-1.27110544762367,0.366839009627966,-1.99010990649448,-0.552100988752858,0.280521348656372,0.136680402556073,0.575738917799183,0.0104761472918864,0.0481902775426775,TRUE
"5","Romboutsia",1.14078721749766,0.353000894086268,0.448905465088577,1.83266896990675,3.12923078105563,1.56659655213272,6.25054693742008,0.0102948478645878,0.0481902775426775,TRUE
"6","Bifidobacterium",1.52236297977991,0.553190336478013,0.438109920283009,2.60661603927682,4.58304204579404,1.54977524979135,13.5531099727808,0.013611679153542,0.0521781034219109,FALSE
"7","Bacteria_Pseudomonadota_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_Unclassified",-1.09936454505513,0.373459536223512,-1.83134523605321,-0.367383854057045,0.333082675495627,0.160197918742325,0.692543758285502,0.0186031621612632,0.061124675672722,FALSE
"8","Blautia",0.829376282771624,0.374588364755917,0.0951830878500262,1.56356947769322,2.29188880384007,1.0998602077337,4.77583810399957,0.0392479446544713,0.112837840881605,FALSE
"9","Clostridium_sensu_stricto",0.676205510248061,0.427902503821735,-0.162483397242539,1.51489441773866,1.96640206554388,0.850030202953537,4.54894081403199,0.142348511543895,0.363779529501064,FALSE
"10","Agathobacter",-0.527456114208637,0.421440311078195,-1.3534791239219,0.298566895504625,0.59010421964928,0.25833989879697,1.34792570435105,0.226753041482704,0.474119995827472,FALSE
"11","Bacteria_Bacillota_Clostridia_Eubacteriales_Unknown_Unclassified",-0.602927706917539,0.464045553633745,-1.51245699203968,0.3066015782046,0.547207226237538,0.220367870152047,1.35879948487944,0.213462058009588,0.474119995827472,FALSE
"12","Dialister",0.364870679214055,0.34546154695043,-0.312233952808788,1.0419753112369,1.44032773179048,0.731810299124348,2.83481112174428,0.303476360501947,0.581663024295399,FALSE
"13","Streptococcus",0.457874829606793,0.545250636969752,-0.610816418853921,1.52656607806751,1.58071113244391,0.542907448213898,4.60234556083615,0.409692356187787,0.592198625992494,FALSE
"14","Anthropogastromicrobium",0.31797499633601,0.339609450261719,-0.34765952617696,0.98360951884898,1.37434189721494,0.706339325329206,2.67409102496176,0.363038975660054,0.592198625992494,FALSE
"15","Faecalibacterium",-0.331626590234202,0.395353701150439,-1.10651984448906,0.443266664020658,0.71775528965523,0.330707875550688,1.55778768488718,0.408941288162812,0.592198625992494,FALSE
"16","Escherichia/Shigella",-0.35529358267781,0.414993845653198,-1.16868152015808,0.458094354802459,0.700967621045895,0.310776423708996,1.58105817645561,0.411964261559996,0.592198625992494,FALSE
"17","Coprococcus",-0.235295189587505,0.30836087590321,-0.839682506357797,0.369092127182787,0.790337515786295,0.431847610536531,1.44642085221498,0.467334823652283,0.594585619045676,FALSE
"18","Fusicatenibacter",-0.250356407765461,0.31589053020045,-0.869501846958344,0.368789031427421,0.778523261882862,0.419160303227601,1.44598251462669,0.44040043498082,0.594585619045676,FALSE
"19","Bacteria_Bacillota_Clostridia_Eubacteriales_Oscillospiraceae_Unclassified",0.295627039952935,0.423100860584814,-0.5336506467933,1.12490472669917,1.34396881667482,0.586460098299287,3.07992340047069,0.491179424429037,0.594585619045676,FALSE
"20","Lachnospira",-0.187025705246467,0.355337506699749,-0.883487218377975,0.509435807885041,0.829422415603759,0.413338992183655,1.66435191577645,0.60587709923371,0.633416967380697,FALSE
"21","Roseburia",-0.216574208108371,0.390173306438968,-0.981313888728748,0.548165472512006,0.80527277493601,0.374818305637462,1.73007623240355,0.58500091893455,0.633416967380697,FALSE
"22","Turicibacter",0.199364166304473,0.331344963974273,-0.450071963085103,0.848800295694048,1.2206263959755,0.637582267583833,2.33684165056586,0.569407126837803,0.633416967380697,FALSE
"23","Bacteria_Bacillota_Clostridia_Eubacteriales_Lachnospiraceae_Unclassified",0.181826292380063,0.39006557701969,-0.582702238578528,0.946354823338655,1.19940582985114,0.558387429974204,2.57630144852538,0.644995069671761,0.644995069671761,FALSE
